#separator:tab
#html:false
#tags column:5
#columns:japonais	romaji	francais	anglais	tags
そふぃー・まるそー	Sophie Marusô	Sophie Marceau		japonais
パリ	pari	Paris		japonais
ロンドン	rondon	Londres		japonais
ローマ	rôma	Rome		japonais
シャンゼリゼ	shanzerize	Les Champs-Élysées		japonais
ベルリン	berurin	Berlin		japonais
あさくさ	asakusa	Asakusa (quartier de Tokyo)		japonais
しんじゅく	shinjuku	Shinjuku (quartier de Tokyo)		japonais
きょうと	kyôto	Kyoto		japonais
ぎんざ	ginza	Ginza (quartier de Tokyo)		japonais
おすし	osushi	sushi	Sushi	japonais::Food_et_Drink
おみせ	omise	restaurant/magasin	Shop / Restaurant	japonais::Things_et_Places
いたまえ	itamae	cuisinier (de cuisine traditionnelle)	Sushi chef / Traditional cook	japonais::Occupations
えび	ebi	crevette	Shrimp / Prawn	japonais::Seafood
すしや	sushiya	restaurant de sushi	Sushi restaurant	japonais::Things_et_Places
ひらめ	hirame	turbot (poisson)	Flounder / Flatfish	japonais::Seafood
みじかい	mijikai	court	Short	japonais::Adjectives
テニス	tenisu	tennis	Tennis	japonais::Hobbies
スキー	sukî	ski	Skiing / Skis	japonais::Hobbies
ゴルフ	gorufu	golf	Golf	japonais::Hobbies
ぞう	zô	éléphant	Elephant	japonais::Things_et_Places
きりん	kirin	girafe	Giraffe	japonais::Things_et_Places
たかい	takai	cher	Expensive / High / Tall	japonais::Adjectives
やすい	yasui	bon marché	Cheap / Inexpensive	japonais::Adjectives
むずかしい	muzukashii	difficile	Difficult	japonais::Adjectives
やさしい	yasashii	facile/gentil	Easy / Kind	japonais::Adjectives
おおきい	ôkii	grand	Big / Large	japonais::Adjectives
ちいさい	chiisai	petit	Small / Little	japonais::Adjectives
ながい	nagai	long	Long	japonais::Adjectives
ひくい	hikui	bas	Low / Short (stature)	japonais::Adjectives
ひろい	hiroi	large/spacieux	Spacious / Wide	japonais::Adjectives
せまい	semai	étroit	Narrow / Cramped	japonais::Adjectives
あつい	atsui	chaud	Hot (touch / weather)	japonais::Adjectives
さむい	samui	froid (météo)	Cold (weather)	japonais::Adjectives
あたらしい	atarashii	neuf/nouveau	New	japonais::Adjectives
ふるい	furui	vieux/ancien	Old (not for people)	japonais::Adjectives
しろい	shiroi	blanc	White	japonais::Colors
くろい	kuroi	noir	Black	japonais::Colors
あかい	akai	rouge	Red	japonais::Colors
あおい	aoi	bleu	Blue / Green (classic)	japonais::Colors
きいろい	kiiroi	jaune	Yellow	japonais::Colors
ふとい	futoi	gros/épais	Thick / Fat	japonais::Adjectives
ほそい	hosoi	fin/mince	Thin / Slender	japonais::Adjectives
うすい	usui	fin/mince (épaisseur)	Thin (in thickness) / Light	japonais::Adjectives
おもい	omoi	lourd	Heavy	japonais::Adjectives
かるい	karui	léger	Light (in weight)	japonais::Adjectives
くらい	kurai	sombre	Dark	japonais::Adjectives
あかるい	akarui	lumineux/clair	Bright / Light	japonais::Adjectives
わるい	warui	mauvais	Bad	japonais::Adjectives
よい/いい	yoi/ii	bien/bon	Good	japonais::Adjectives
かなしい	kanashii	triste	Sad	japonais::Adjectives
うれしい	ureshii	joyeux/heureux	Happy / Glad	japonais::Adjectives
おいしい	oishii	délicieux	Delicious / Tasty	japonais::Adjectives
うつくしい	utsukushii	magnifique	Beautiful	japonais::Adjectives
おもしろい	omoshiroi	intéressant/amusant	Interesting / Funny	japonais::Adjectives
ネックレス	nekkuresu	un collier	Necklace	japonais::Clothes
イアリング	iaringu	des boucles d'oreille	Earrings	japonais::Clothes
てぶくろ	tebukuro	des gants	Gloves / Mittens	japonais::Clothes
セーター	sêtâ	un pull/chandail	Sweater	japonais::Clothes
ハンドバッグ	handobaggu	un sac à main	Handbag	japonais::Clothes
スカート	sukâto	une jupe	Skirt	japonais::Clothes
くつした	kutsushita	des chaussettes	Socks	japonais::Clothes
ぼうし	bôshi	un chapeau	Hat / Cap	japonais::Clothes
めがね	megane	des lunettes (de vue)	Glasses	japonais::Clothes
うわぎ	uwagi	une veste/un pardessus	Jacket / Outer garment	japonais::Clothes
ワイシャツ	waishatsu	une chemise blanche	Dress shirt / Collared shirt	japonais::Clothes
ポケット	poketto	une poche	Pocket	japonais::Clothes
ボタン	botan	un bouton	Button	japonais::Clothes
ベルト	beruto	une ceinture	Belt	japonais::Clothes
ズボン	zubon	un pantalon	Trousers / Pants	japonais::Clothes
くつ	kutsu	des chaussures	Shoes	japonais::Clothes
ティーシャツ	tîshatsu	un t-shirt	T-shirt	japonais::Clothes
スーツ	sûtsu	un costume	Suit	japonais::Clothes
コート	kôto	un manteau	Coat / Overcoat	japonais::Clothes
きもの	kimono	un kimono	Kimono	japonais::Clothes
おび	obi	un obi (ceinture de kimono)	Obi (kimono sash)	japonais::Clothes
げた	geta	des geta (sandales traditionnelles en bois)	Geta (wooden clogs)	japonais::Clothes
ぞうり	zôri	des zori (sandales traditionnelles formelles)	Zori (formal sandals)	japonais::Clothes
ダイヤ（モンド）	daiyamondo	un diamant		japonais
からだ	karada	le corps	Body	japonais::Body
あたま	atama	la tête	Head	japonais::Body
かみ	kami	les cheveux	Hair / Paper	japonais::Body
め	me	les yeux	Eye	japonais::Body
まゆ（げ）	mayu(ge)	les sourcils	Eyebrow	japonais::Body
はな	hana	le nez	Nose / Flower	japonais::Body
みみ	mimi	les oreilles	Ear	japonais::Body
くち	kuchi	la bouche	Mouth	japonais::Body
は	ha	les dents	Tooth / Teeth	japonais::Body
くび	kubi	le cou	Neck	japonais::Body
かた	kata	les épaules	Shoulder	japonais::Body
むね	mune	la poitrine	Chest / Breast	japonais::Body
うで	ude	le bras	Arm	japonais::Body
ひじ	hiji	les coudes	Elbow	japonais::Body
て	te	les mains	Hand	japonais::Body
ゆび	yubi	les doigts	Finger / Toe	japonais::Body
おなか	onaka	le ventre	Stomach / Belly	japonais::Body
こし	koshi	les hanches/la taille	Waist / Hips / Lower back	japonais::Body
あし	ashi	les jambes/le pied	Leg / Foot	japonais::Body
もも	momo	les cuisses	Peach / Thigh	japonais::Fruit_et_Veg
ひざ	hiza	les genoux	Knee	japonais::Body
あしくび	ashikubi	la cheville	Ankle	japonais::Body
ひげ	hige	la barbe	Beard / Mustache	japonais::Body
すき	suki	aimer		japonais
きらい	kirai	détester		japonais
にぎやか	nigiyaka	animé		japonais
しずか	shizuka	calme		japonais
じょうず	jôzu	doué/habile		japonais
へた	heta	maladroit/mauvais		japonais
きれい	kirei	beau/propre		japonais
べんり	benri	pratique		japonais
ハンサム	hansamu	beau (homme)	Handsome	japonais::Na-Adjectives
しんせつ	shinsetsu	gentil		japonais
げんき	genki	en forme		japonais
ナタリー	natarî	Nathalie		japonais
あきこ	akiko	Akiko		japonais
わたし	watashi	je/moi	I / Me	japonais::Basics
おさけ	osake	saké (alcool en général)	Alcohol / Sake	japonais::Food_et_Drink
けん	ken	Ken		japonais
しげる	shigeru	Shigeru		japonais
やまだ	yamada	Yamada		japonais
ジャン・レノ	jan reno	Jean Réno		japonais
がくせい	gakusei	étudiant	Student	japonais::Occupations
せんせい	sensei	professeur	Teacher / Master	japonais::Occupations
かいしゃ	kaisha	entreprise	Company / Firm	japonais::Things_et_Places
かいしゃいん	kaishain	employé	Company employee	japonais::Occupations
コンピューター	konpyûtâ	ordinateur	Computer	japonais::Things_et_Places
だいとうりょう	daitôryô	président	President	japonais::Occupations
ビール	bîru	bière	Beer	japonais::Food_et_Drink
ワイン	wain	vin	Wine	japonais::Food_et_Drink
コーヒー	kôhî	café	Coffee	japonais::Food_et_Drink
おちゃ	ocha	thé	Tea (green tea)	japonais::Food_et_Drink
たばこ	tabako	tabac/cigarette	Cigarette / Tobacco	japonais::Things_et_Places
バナナ	banana	banane	Banana	japonais::Fruit_et_Veg
ウイスキー	uisukî	whisky	Whisky	japonais::Food_et_Drink
トマト	tomato	tomate	Tomato	japonais::Food_et_Drink
ジュース	jûsu	jus	Juice	japonais::Food_et_Drink
あなた	anata	tu/toi/vous	You	japonais::Basics
にほん	nihon	le Japon	Japan	japonais::Countries
にほんじん	nihonjin	Japonais/Japonaise	Japanese person	japonais::Countries
にほんご	nihongo	le japonais (langue)	Japanese language	japonais::Countries
フランス	furansu	la France	France	japonais::Countries
フランスじん	furansujin	Français/Française	French person	japonais::Countries
フランスご	furansugo	le français (langue)	French language	japonais::Countries
ドイツ	doitsu	Allemand/Allemande	Germany	japonais::Countries
ドイツじん	doitsujin	l'allemand	German person	japonais::Countries
ドイツご	doitsugo	l'allemand (langue)	German language	japonais::Countries
イタリア	itaria	l'Italie	Italy	japonais::Countries
イタリアじん	itariajin	Italien/Italienne	Italian person	japonais::Countries
イタリアご	itariago	l'italien (langue)	Italian language	japonais::Countries
イギリス	igirisu	l'Angleterre	United Kingdom	japonais::Countries
イギリスじん	igirisujin	Anglais/Anglaise	British person	japonais::Countries
えいご	eigo	l'anglais (langue)	English language	japonais::Countries
アメリカ	amerika	les États-Unis	United States	japonais::Countries
