japonais,romaji,francais,anglais,groupe
そふぃー・まるそー,Sophie Marusô,Sophie Marceau,,
パリ,pari,Paris,,
ロンドン,rondon,Londres,,
ローマ,rôma,Rome,,
シャンゼリゼ,shanzerize,Les Champs-Élysées,,
ベルリン,berurin,Berlin,,
あさくさ,asakusa,Asakusa (quartier de Tokyo),,
しんじゅく,shinjuku,Shinjuku (quartier de Tokyo),,
きょうと,kyôto,Kyoto,,
ぎんざ,ginza,Ginza (quartier de Tokyo),,
おすし,osushi,sushi,Sushi,Food & Drink
おみせ,omise,restaurant/magasin,Shop / Restaurant,Things & Places
いたまえ,itamae,cuisinier (de cuisine traditionnelle),Sushi chef / Traditional cook,Occupations
えび,ebi,crevette,Shrimp / Prawn,Seafood
すしや,sushiya,restaurant de sushi,Sushi restaurant,Things & Places
ひらめ,hirame,turbot (poisson),Flounder / Flatfish,Seafood
みじかい,mijikai,court,Short,Adjectives
テニス,tenisu,tennis,Tennis,Hobbies
スキー,sukî,ski,Skiing / Skis,Hobbies
ゴルフ,gorufu,golf,Golf,Hobbies
ぞう,zô,éléphant,Elephant,Things & Places
きりん,kirin,girafe,Giraffe,Things & Places
たかい,takai,cher,Expensive / High / Tall,Adjectives
やすい,yasui,bon marché,Cheap / Inexpensive,Adjectives
むずかしい,muzukashii,difficile,Difficult,Adjectives
やさしい,yasashii,facile/gentil,Easy / Kind,Adjectives
おおきい,ôkii,grand,Big / Large,Adjectives
ちいさい,chiisai,petit,Small / Little,Adjectives
ながい,nagai,long,Long,Adjectives
ひくい,hikui,bas,Low / Short (stature),Adjectives
ひろい,hiroi,large/spacieux,Spacious / Wide,Adjectives
せまい,semai,étroit,Narrow / Cramped,Adjectives
あつい,atsui,chaud,Hot (touch / weather),Adjectives
さむい,samui,froid (météo),Cold (weather),Adjectives
あたらしい,atarashii,neuf/nouveau,New,Adjectives
ふるい,furui,vieux/ancien,Old (not for people),Adjectives
しろい,shiroi,blanc,White,Colors
くろい,kuroi,noir,Black,Colors
あかい,akai,rouge,Red,Colors
あおい,aoi,bleu,Blue / Green (classic),Colors
きいろい,kiiroi,jaune,Yellow,Colors
ふとい,futoi,gros/épais,Thick / Fat,Adjectives
ほそい,hosoi,fin/mince,Thin / Slender,Adjectives
うすい,usui,fin/mince (épaisseur),Thin (in thickness) / Light,Adjectives
おもい,omoi,lourd,Heavy,Adjectives
かるい,karui,léger,Light (in weight),Adjectives
くらい,kurai,sombre,Dark,Adjectives
あかるい,akarui,lumineux/clair,Bright / Light,Adjectives
わるい,warui,mauvais,Bad,Adjectives
よい/いい,yoi/ii,bien/bon,Good,Adjectives
かなしい,kanashii,triste,Sad,Adjectives
うれしい,ureshii,joyeux/heureux,Happy / Glad,Adjectives
おいしい,oishii,délicieux,Delicious / Tasty,Adjectives
うつくしい,utsukushii,magnifique,Beautiful,Adjectives
おもしろい,omoshiroi,intéressant/amusant,Interesting / Funny,Adjectives
ネックレス,nekkuresu,un collier,Necklace,Clothes
イアリング,iaringu,des boucles d'oreille,Earrings,Clothes
てぶくろ,tebukuro,des gants,Gloves / Mittens,Clothes
セーター,sêtâ,un pull/chandail,Sweater,Clothes
ハンドバッグ,handobaggu,un sac à main,Handbag,Clothes
スカート,sukâto,une jupe,Skirt,Clothes
くつした,kutsushita,des chaussettes,Socks,Clothes
ぼうし,bôshi,un chapeau,Hat / Cap,Clothes
めがね,megane,des lunettes (de vue),Glasses,Clothes
うわぎ,uwagi,une veste/un pardessus,Jacket / Outer garment,Clothes
ワイシャツ,waishatsu,une chemise blanche,Dress shirt / Collared shirt,Clothes
ポケット,poketto,une poche,Pocket,Clothes
ボタン,botan,un bouton,Button,Clothes
ベルト,beruto,une ceinture,Belt,Clothes
ズボン,zubon,un pantalon,Trousers / Pants,Clothes
くつ,kutsu,des chaussures,Shoes,Clothes
ティーシャツ,tîshatsu,un t-shirt,T-shirt,Clothes
スーツ,sûtsu,un costume,Suit,Clothes
コート,kôto,un manteau,Coat / Overcoat,Clothes
きもの,kimono,un kimono,Kimono,Clothes
おび,obi,un obi (ceinture de kimono),Obi (kimono sash),Clothes
げた,geta,des geta (sandales traditionnelles en bois),Geta (wooden clogs),Clothes
ぞうり,zôri,des zori (sandales traditionnelles formelles),Zori (formal sandals),Clothes
ダイヤ（モンド）,daiyamondo,un diamant,,
からだ,karada,le corps,Body,Body
あたま,atama,la tête,Head,Body
かみ,kami,les cheveux,Hair / Paper,Body
め,me,les yeux,Eye,Body
まゆ（げ）,mayu(ge),les sourcils,Eyebrow,Body
はな,hana,le nez,Nose / Flower,Body
みみ,mimi,les oreilles,Ear,Body
くち,kuchi,la bouche,Mouth,Body
は,ha,les dents,Tooth / Teeth,Body
くび,kubi,le cou,Neck,Body
かた,kata,les épaules,Shoulder,Body
むね,mune,la poitrine,Chest / Breast,Body
うで,ude,le bras,Arm,Body
ひじ,hiji,les coudes,Elbow,Body
て,te,les mains,Hand,Body
ゆび,yubi,les doigts,Finger / Toe,Body
おなか,onaka,le ventre,Stomach / Belly,Body
こし,koshi,les hanches/la taille,Waist / Hips / Lower back,Body
あし,ashi,les jambes/le pied,Leg / Foot,Body
もも,momo,les cuisses,Peach / Thigh,Fruit & Veg
ひざ,hiza,les genoux,Knee,Body
あしくび,ashikubi,la cheville,Ankle,Body
ひげ,hige,la barbe,Beard / Mustache,Body
すき,suki,aimer,,
きらい,kirai,détester,,
にぎやか,nigiyaka,animé,,
しずか,shizuka,calme,,
じょうず,jôzu,doué/habile,,
へた,heta,maladroit/mauvais,,
きれい,kirei,beau/propre,,
べんり,benri,pratique,,
ハンサム,hansamu,beau (homme),Handsome,Na-Adjectives
しんせつ,shinsetsu,gentil,,
げんき,genki,en forme,,
ナタリー,natarî,Nathalie,,
あきこ,akiko,Akiko,,
わたし,watashi,je/moi,I / Me,Basics
おさけ,osake,saké (alcool en général),Alcohol / Sake,Food & Drink
けん,ken,Ken,,
しげる,shigeru,Shigeru,,
やまだ,yamada,Yamada,,
ジャン・レノ,jan reno,Jean Réno,,
がくせい,gakusei,étudiant,Student,Occupations
せんせい,sensei,professeur,Teacher / Master,Occupations
かいしゃ,kaisha,entreprise,Company / Firm,Things & Places
かいしゃいん,kaishain,employé,Company employee,Occupations
コンピューター,konpyûtâ,ordinateur,Computer,Things & Places
だいとうりょう,daitôryô,président,President,Occupations
ビール,bîru,bière,Beer,Food & Drink
ワイン,wain,vin,Wine,Food & Drink
コーヒー,kôhî,café,Coffee,Food & Drink
おちゃ,ocha,thé,Tea (green tea),Food & Drink
たばこ,tabako,tabac/cigarette,Cigarette / Tobacco,Things & Places
バナナ,banana,banane,Banana,Fruit & Veg
ウイスキー,uisukî,whisky,Whisky,Food & Drink
トマト,tomato,tomate,Tomato,Food & Drink
ジュース,jûsu,jus,Juice,Food & Drink
あなた,anata,tu/toi/vous,You,Basics
にほん,nihon,le Japon,Japan,Countries
にほんじん,nihonjin,Japonais/Japonaise,Japanese person,Countries
にほんご,nihongo,le japonais (langue),Japanese language,Countries
フランス,furansu,la France,France,Countries
フランスじん,furansujin,Français/Française,French person,Countries
フランスご,furansugo,le français (langue),French language,Countries
ドイツ,doitsu,Allemand/Allemande,Germany,Countries
ドイツじん,doitsujin,l'allemand,German person,Countries
ドイツご,doitsugo,l'allemand (langue),German language,Countries
イタリア,itaria,l'Italie,Italy,Countries
イタリアじん,itariajin,Italien/Italienne,Italian person,Countries
イタリアご,itariago,l'italien (langue),Italian language,Countries
イギリス,igirisu,l'Angleterre,United Kingdom,Countries
イギリスじん,igirisujin,Anglais/Anglaise,British person,Countries
えいご,eigo,l'anglais (langue),English language,Countries
アメリカ,amerika,les États-Unis,United States,Countries
アメリカじん,amerikajin,Américain/Américaine,American person,Countries
ちゅうごく,chûgoku,la Chine,China,Countries
ちゅうごくじん,chûgokujin,Chinois/Chinoise,Chinese person,Countries
ちゅうごくご,chûgokugo,le chinois (langue),Chinese language,Countries
だいどころ,daidokoro,cuisine,Kitchen,Things & Places
まど,mado,fenêtre,Window,Things & Places
あさごはん,asagohan,le petit-déjeuner,Breakfast,Food & Drink
ひるごはん,hirugohan,le déjeuner,Lunch,Food & Drink
ばんごはん,bangohan,le dîner,Dinner,Food & Drink
たまご,tamago,un œuf,Egg,Food & Drink
れいぞうこ,reizôko,un réfrigérateur,Refrigerator,Things & Places
しお,shio,le sel,Salt,Food & Drink
こしょう,koshô,le poivre,Pepper (seasoning),Food & Drink
たな,tana,une étagère,Shelf,Things & Places
なか,naka,dans/dedans/à l'intérieur,Inside / In,Directions
うえ,ue,sur/dessus,Above / Up / On,Directions
した,shita,sous/dessous,Below / Down / Under,Directions
よこ,yoko,à côté,Next to / Beside,Directions
まえ,mae,devant,In front / Before,Directions
うしろ,ushiro,derrière,Behind / Back,Directions
ほんだな,hondana,une étagère à livre,,
ねこ,neko,un chat,Cat,Things & Places
じてんしゃ,jitensha,un vélo,Bicycle,Things & Places
くるま,kuruma,une voiture,Car,Things & Places
へや,heya,une chambre,Room,Things & Places
ドア,doa,une porte,Door,Things & Places
テーブル,têburu,une table,Table,Things & Places
ライター,raitâ,un briquet,Lighter,Things & Places
コップ,koppu,une tasse,Cup / Glass,Things & Places
ベッド,beddo,un lit,Bed,Things & Places
ボール,bôru,un ballon,Ball,Things & Places
かびん,kabin,un vase,Vase,Things & Places
でんわ,denwa,un téléphone,Telephone / Phone,Things & Places
つくえ,tsukue,une table/un bureau,Desk,Things & Places
いす,isu,une chaise,Chair,Things & Places
えき,eki,une gare/une station,Station,Things & Places
こうえん,kôen,un parc,Park,Things & Places
タクシー・バスのりば,takushî basu noriba,une station de taxi/de bus,,
ゆうびんきょく,yûbinkyoku,la poste,Post office,Things & Places
びょういん,byôin,l'hôpital,Hospital,Things & Places
がっこう,gakkô,l'école,School,Things & Places
ちゅうしゃじょう,chûshajô,un parking,Parking lot,Things & Places
かわ,kawa,une rivière/un fleuve,River,Things & Places
はし,hashi,des baguettes (de table),Chopsticks,Things & Places
ホテル,hoteru,un hôtel,Hotel,Things & Places
レストラン,resutoran,un restaurant,Restaurant,Things & Places
えいがかん,eigakan,un cinéma,Movie theater,Things & Places
スーパー,sûpâ,un supermarché,Supermarket,Things & Places
はなや,hanaya,un fleuriste,Florist / Flower shop,Things & Places
ぎんこう,ginkô,une banque,Bank,Things & Places
ほんや,honya,une librairie,Bookstore,Things & Places
さかなや,sakanaya,une poissonnerie,Fish market / Fishmonger,Things & Places
やおや,yaoya,un maraîcher,Greengrocer / Vegetable shop,Things & Places
にくや,nikuya,une boucherie,Butcher / Meat shop,Things & Places
うち,uchi,chez moi/à l'intérieur,House / Home,Things & Places
きっさてん,kissaten,un café (endroit),Café / Coffee shop,Things & Places
しぶや,shibuya,Shibuya,,
こんど,kondo,la prochaine fois,Next time / Soon,Time
かいもの,kaimono,les courses,Shopping,Things & Places
りんご,ringo,une pomme,Apple,Fruit & Veg
あさ,asa,le matin,Morning,Time
ひる,hiru,le midi,Afternoon / Daytime,Time
ごぜん,gozen,le matin (avant midi),AM / Morning,Time
ごご,gogo,l'après-midi,PM / Afternoon,Time
ゆうがた,yûgata,la fin d'après-midi/le soir,Evening / Dusk,Time
よる,yoru,le soir/la nuit,Night / Evening,Time
きのう,kinô,hier,Yesterday,Time
きょう,kyô,aujourd'hui,Today,Time
あした,ashita,demain,Tomorrow,Time
げつようび,getsuyôbi,lundi,Monday,Time
かようび,kayôbi,mardi,Tuesday,Time
すいようび,suiyôbi,mercredi,Wednesday,Time
もくようび,mokuyôbi,jeudi,Thursday,Time
きんようび,kinyôbi,vendredi,Friday,Time
どようび,doyôbi,samedi,Saturday,Time
にちようび,nichiyôbi,dimanche,Sunday,Time
きって,kitte,un timbre,Stamp (postage),Things & Places
ふうとう,fûtô,une enveloppe,Envelope,Things & Places
のみもの,nomimono,une boisson,Drink / Beverage,Food & Drink
さかな,sakana,un poisson,Fish,Food & Drink
きっぷ,kippu,un ticket,Ticket,Things & Places
プレゼント,purezento,un cadeau,,
みず,mizu,eau,Water,Food & Drink
